Model:	LI-7810
SN:	TG10-01087
Software Version:	2.1.41
Timestamp:	2022-09-18 06:54:11
Timezone:	EST
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1663502051	307631015	29	256	""	2022-09-18	06:54:11	nan	nan	nan	88.1675	22.0228	88.7714	29.1882	0	0	22.1224	-16000	0	16.3903	 87
DATA	1663502052	307588100	33	256	""	2022-09-18	06:54:12	nan	nan	nan	88.6825	22.0228	89.0344	35.8285	0	0	22.1224	-16000	0	16.3934	 90
DATA	1663502053	307548999	37	256	""	2022-09-18	06:54:13	nan	nan	nan	88.9684	22.0235	89.3167	36.8433	0	0	22.1231	-16000	0	16.4005	112
DATA	1663502054	307512998	41	256	""	2022-09-18	06:54:14	nan	nan	nan	89.245	22.0235	89.5924	37.0645	0	0	22.1231	-16000	0	16.4009	 41
DATA	1663502055	307501077	45	256	""	2022-09-18	06:54:15	nan	nan	nan	89.5317	22.0235	89.8763	37.1678	0	0	22.1231	-16000	0	16.4025	 95
DATA	1663502056	307501077	49	256	""	2022-09-18	06:54:16	nan	nan	nan	89.8161	22.0235	90.1602	37.2208	0	0	22.1231	-16000	0	16.4017	 69
DATA	1663502057	307501077	53	256	""	2022-09-18	06:54:17	nan	nan	nan	90.0996	22.0235	90.4457	37.2523	0	0	22.1233	-16000	0	16.4025	 78
DATA	1663502058	307501077	57	256	""	2022-09-18	06:54:18	nan	nan	nan	90.3855	22.0235	90.7305	37.273	0	0	22.1238	-16000	0	16.4021	 29
DATA	1663502059	307501077	61	256	""	2022-09-18	06:54:19	nan	nan	nan	90.6739	22.0235	91.0177	37.2876	0	0	22.1238	-16000	0	16.4021	 90
DATA	1663502060	307501077	65	256	""	2022-09-18	06:54:20	nan	nan	nan	90.9632	22.0235	91.3069	37.2985	0	0	22.1238	-16000	0	16.4013	 78
DATA	1663502061	307501077	69	256	""	2022-09-18	06:54:21	nan	nan	nan	91.2442	22.0235	91.5892	37.3048	0	0	22.1238	-16000	0	16.4009	 79
DATA	1663502062	307199954	73	256	""	2022-09-18	06:54:22	nan	nan	nan	91.5269	22.0235	91.8735	37.31	0	0	22.1238	-16000	0	16.4009	251
DATA	1663502063	307199954	77	256	""	2022-09-18	06:54:23	nan	nan	nan	91.8284	22.0235	92.1742	37.3143	0	0	22.1245	-16000	0	16.395	 50
DATA	1663502064	307199954	81	256	""	2022-09-18	06:54:24	nan	nan	nan	92.1349	22.0235	92.4807	37.3175	0	0	22.1245	-16000	0	16.395	 53
DATA	1663502065	307199954	85	256	""	2022-09-18	06:54:25	nan	nan	nan	92.445	22.0235	92.792	37.3198	0	0	22.1245	-16000	0	16.3942	 12
DATA	1663502066	307199954	89	256	""	2022-09-18	06:54:26	nan	nan	nan	92.7601	22.0235	93.1079	37.3216	0	0	22.1245	-16000	0	16.3934	107
DATA	1663502067	307199954	93	256	""	2022-09-18	06:54:27	nan	nan	nan	93.0829	22.0235	93.4319	37.323	0	0	22.1247	-16000	0	16.3934	 60
DATA	1663502068	307199954	97	256	""	2022-09-18	06:54:28	nan	nan	nan	93.4127	22.0235	93.7622	37.324	0	0	22.1251	-16000	0	16.393	  5
DATA	1663502069	307199954	101	256	""	2022-09-18	06:54:29	nan	nan	nan	93.7495	22.0235	94.1006	37.325	0	0	22.1252	-16000	0	16.3981	 99
DATA	1663502070	306901931	105	256	""	2022-09-18	06:54:30	nan	nan	nan	94.067	22.0235	94.4177	37.3256	0	0	22.1252	-16000	0	16.4001	 63
DATA	1663502071	306901931	109	256	""	2022-09-18	06:54:31	nan	nan	nan	94.4213	22.0233	94.7749	37.3262	0	0	22.1252	-16000	0	16.4005	121
DATA	1663502072	306901931	113	256	""	2022-09-18	06:54:32	nan	nan	nan	94.7851	22.0235	95.1395	37.3265	0	0	22.1252	-16000	0	16.4001	122
DATA	1663502073	306901931	117	256	""	2022-09-18	06:54:33	nan	nan	nan	95.1584	22.0235	95.5152	37.3271	0	0	22.1254	-16000	0	16.4001	120
DATA	1663502074	306901931	121	256	""	2022-09-18	06:54:34	nan	nan	nan	95.5431	22.0233	95.9015	37.3271	0	0	22.1259	-16000	0	16.3993	136
DATA	1663502075	306901931	125	256	""	2022-09-18	06:54:35	nan	nan	nan	95.9417	22.0235	96.3026	37.3271	0	0	22.1259	-16000	0	16.3997	153
DATA	1663502076	306901931	129	256	""	2022-09-18	06:54:36	nan	nan	nan	96.3551	22.0235	96.7168	37.3271	0	0	22.1259	-16000	0	16.3993	160
DATA	1663502077	306603908	133	256	""	2022-09-18	06:54:37	nan	nan	nan	96.7824	22.0232	97.1486	37.3271	0	0	22.1259	-16000	0	16.3985	163
DATA	1663502078	306603908	137	256	""	2022-09-18	06:54:38	nan	nan	nan	97.2101	22.023	97.5788	37.3273	0	0	22.1259	-16000	0	16.3962	109
DATA	1663502079	306603908	141	256	""	2022-09-18	06:54:39	nan	nan	nan	97.6558	22.0235	98.0258	37.3279	0	0	22.1259	-16000	0	16.3958	178
DATA	1663502080	306603908	145	256	""	2022-09-18	06:54:40	nan	nan	nan	98.1429	22.0233	98.519	37.3279	0	0	22.1263	-16000	0	16.3958	104
DATA	1663502081	306603908	149	256	""	2022-09-18	06:54:41	nan	nan	nan	98.6567	22.0233	99.0369	37.3279	0	0	22.1266	-16000	0	16.3954	169
DATA	1663502082	306603908	153	256	""	2022-09-18	06:54:42	nan	nan	nan	99.213	22.0232	99.603	37.3281	0	0	22.1266	-16000	0	16.3954	 36
DATA	1663502083	306603908	157	256	""	2022-09-18	06:54:43	nan	nan	nan	99.8484	22.0232	100.258	37.3287	0	0	22.1266	-16000	0	16.3958	155
DATA	1663502084	306603908	161	256	""	2022-09-18	06:54:44	nan	nan	nan	100.727	22.0232	101.204	37.3287	0	0	22.1266	-16000	0	16.395	 63
DATA	1663502085	306293010	165	256	""	2022-09-18	06:54:45	nan	nan	nan	101.75	22.0233	102.144	37.3287	0	0	22.1266	-16000	0	16.395	 12
DATA	1663502086	306293010	169	256	""	2022-09-18	06:54:46	nan	nan	nan	101.898	22.0235	102.18	37.3289	0	0	22.1266	-16000	0	16.395	 35
DATA	1663502087	306293010	173	256	""	2022-09-18	06:54:47	nan	nan	nan	101.902	22.0235	102.181	37.3295	0	0	22.1266	-16000	0	16.397	 66
DATA	1663502088	306293010	177	256	""	2022-09-18	06:54:48	nan	nan	nan	101.902	22.0228	102.181	37.3295	0	0	22.1266	-16000	0	16.397	 74
DATA	1663502089	306293010	181	256	""	2022-09-18	06:54:49	nan	nan	nan	101.903	22.0228	102.18	37.3295	0	0	22.1273	-16000	0	16.3966	 74
DATA	1663502090	306293010	185	256	""	2022-09-18	06:54:50	nan	nan	nan	101.903	22.0228	102.181	37.3295	0	0	22.1273	-16000	0	16.3958	112
DATA	1663502091	306293010	189	256	""	2022-09-18	06:54:51	nan	nan	nan	101.903	22.0228	102.182	37.3301	0	0	22.1273	-16000	0	16.3962	102
DATA	1663502092	305990934	193	256	""	2022-09-18	06:54:52	nan	nan	nan	101.903	22.0228	102.181	37.3303	0	0	22.1273	-16000	0	16.3954	119
DATA	1663502093	305990934	197	256	""	2022-09-18	06:54:53	nan	nan	nan	101.903	22.0228	102.181	37.3303	0	0	22.1273	-16000	0	16.3954	125
DATA	1663502094	305990934	201	256	""	2022-09-18	06:54:54	nan	nan	nan	101.903	22.0228	102.182	37.3303	0	0	22.1273	-16000	0	16.3954	114
DATA	1663502095	305990934	205	256	""	2022-09-18	06:54:55	nan	nan	nan	101.903	22.0228	102.181	37.3303	0	0	22.1273	-16000	0	16.393	 65
DATA	1663502096	305990934	209	256	""	2022-09-18	06:54:56	nan	nan	nan	101.903	22.0228	102.181	37.3309	0	0	22.1273	-16000	0	16.3926	130
DATA	1663502097	305990934	213	256	""	2022-09-18	06:54:57	nan	nan	nan	101.903	22.0228	102.182	37.3311	0	0	22.1273	-16000	0	16.3926	121
DATA	1663502098	305990934	217	256	""	2022-09-18	06:54:58	nan	nan	nan	101.903	22.0228	102.181	37.3311	0	0	22.1277	-16000	0	16.3923	127
DATA	1663502099	305990934	221	256	""	2022-09-18	06:54:59	nan	nan	nan	101.904	22.0228	102.181	37.3311	0	0	22.128	-16000	0	16.3923	 71
DATA	1663502100	305680036	225	256	""	2022-09-18	06:55:00	nan	nan	nan	101.904	22.0228	102.181	37.3311	0	0	22.128	-16000	0	16.3923	 34
DATA	1663502101	305680036	229	256	""	2022-09-18	06:55:01	nan	nan	nan	101.903	22.0228	102.182	37.3319	0	0	22.128	-16000	0	16.3919	 53
DATA	1663502102	305680036	233	256	""	2022-09-18	06:55:02	nan	nan	nan	101.903	22.0228	102.181	37.3319	0	0	22.128	-16000	0	16.3919	 49
DATA	1663502103	305680036	237	256	""	2022-09-18	06:55:03	nan	nan	nan	101.903	22.0228	102.181	37.3319	0	0	22.128	-16000	0	16.191	252
DATA	1663502104	305680036	241	256	""	2022-09-18	06:55:04	nan	nan	nan	101.904	22.0239	102.182	37.3319	0	0	22.1282	-16000	0	15.9956	112
DATA	1663502105	305680036	245	256	""	2022-09-18	06:55:05	nan	nan	nan	101.905	22.0277	102.182	37.3319	0	0	22.1314	-16000	0	15.9897	121
DATA	1663502106	305680036	249	256	""	2022-09-18	06:55:06	nan	nan	nan	101.905	22.0346	102.182	37.3321	0	0	22.1387	-16000	0	15.9858	124
DATA	1663502107	305378913	253	256	""	2022-09-18	06:55:07	nan	nan	nan	101.905	22.0435	102.181	37.3327	0	0	22.1512	-16000	0	15.9819	120
DATA	1663502108	305378913	257	256	""	2022-09-18	06:55:08	nan	nan	nan	101.905	22.0549	102.182	37.3327	0	0	22.1659	-16000	0	15.9787	149
DATA	1663502109	305378913	261	256	""	2022-09-18	06:55:09	nan	nan	nan	101.905	22.0691	102.182	37.3327	0	0	22.1822	-16000	0	15.976	 79
DATA	1663502110	305378913	265	256	""	2022-09-18	06:55:10	nan	nan	nan	101.905	22.0851	102.182	37.3327	0	0	22.2001	-16000	0	15.9728	107
DATA	1663502111	305378913	269	256	""	2022-09-18	06:55:11	nan	nan	nan	101.906	22.1021	102.182	37.3327	0	0	22.2184	-16000	0	15.9705	111
DATA	1663502112	305378913	273	256	""	2022-09-18	06:55:12	nan	nan	nan	101.905	22.1191	102.182	37.3327	0	0	22.2356	-16000	0	15.9662	118
DATA	1663502113	305378913	277	256	""	2022-09-18	06:55:13	nan	nan	nan	101.906	22.1387	102.182	37.3335	0	0	22.2545	-16000	0	15.9638	134
DATA	1663502114	305378913	281	256	""	2022-09-18	06:55:14	nan	nan	nan	101.906	22.1591	102.182	37.3335	0	0	22.2739	-16000	0	15.9619	132
DATA	1663502115	305071115	285	256	""	2022-09-18	06:55:15	nan	nan	nan	101.906	22.1801	102.182	37.3335	0	0	22.2939	-16000	0	15.9603	111
DATA	1663502116	305071115	289	256	""	2022-09-18	06:55:16	nan	nan	nan	101.907	22.202	102.182	37.3335	0	0	22.314	-16000	0	15.9583	  8
DATA	1663502117	305071115	293	256	""	2022-09-18	06:55:17	nan	nan	nan	101.907	22.2244	102.182	37.3335	0	0	22.3343	-16000	0	15.956	 61
DATA	1663502118	305071115	297	256	""	2022-09-18	06:55:18	nan	nan	nan	101.906	22.2466	102.181	37.3339	0	0	22.3545	-16000	0	15.9548	133
DATA	1663502119	305071115	301	256	""	2022-09-18	06:55:19	nan	nan	nan	101.906	22.269	102.182	37.3342	0	0	22.3755	-16000	0	15.9532	 63
DATA	1663502120	305071115	305	256	""	2022-09-18	06:55:20	nan	nan	nan	101.907	22.2916	102.182	37.3342	0	0	22.397	-16000	0	15.9513	 51
DATA	1663502121	305071115	309	256	""	2022-09-18	06:55:21	nan	nan	nan	101.905	22.3122	102.182	37.3342	0	0	22.4162	-16000	0	15.9524	 89
DATA	1663502122	304764986	313	256	""	2022-09-18	06:55:22	nan	nan	nan	101.905	22.335	102.182	37.3342	0	0	22.4375	-16000	0	15.9509	 74
DATA	1663502123	304764986	317	256	""	2022-09-18	06:55:23	nan	nan	nan	101.907	22.3577	102.182	37.3346	0	0	22.459	-16000	0	15.9493	 98
DATA	1663502124	304764986	321	256	""	2022-09-18	06:55:24	nan	nan	nan	101.906	22.3807	102.182	37.335	0	0	22.4803	-16000	0	15.9477	 84
DATA	1663502125	304764986	325	256	""	2022-09-18	06:55:25	nan	nan	nan	101.906	22.4035	102.182	37.335	0	0	22.5019	-16000	0	15.9462	 78
DATA	1663502126	304764986	329	256	""	2022-09-18	06:55:26	nan	nan	nan	101.906	22.4262	102.18	37.335	0	0	22.5239	-16000	0	15.945	245
DATA	1663502127	304764986	333	256	""	2022-09-18	06:55:27	nan	nan	nan	101.907	22.4485	102.18	37.335	0	0	22.5457	-16000	0	15.9434	 46
DATA	1663502128	304764986	337	256	""	2022-09-18	06:55:28	nan	nan	nan	101.907	22.4707	102.182	37.3352	0	0	22.5682	-16000	0	15.9426	150
DATA	1663502129	304764986	341	256	""	2022-09-18	06:55:29	nan	nan	nan	101.905	22.4913	102.182	37.3358	0	0	22.5884	-16000	0	15.9387	160
DATA	1663502130	304455041	345	256	""	2022-09-18	06:55:30	nan	nan	nan	101.906	22.5132	102.182	37.3358	0	0	22.6107	-16000	0	15.9371	104
DATA	1663502131	304455041	349	256	""	2022-09-18	06:55:31	nan	nan	nan	101.906	22.5354	102.182	37.3358	0	0	22.6325	-16000	0	15.936	 68
DATA	1663502132	304455041	353	256	""	2022-09-18	06:55:32	nan	nan	nan	101.906	22.5575	102.181	37.3358	0	0	22.6546	-16000	0	15.9348	128
DATA	1663502133	304455041	357	256	""	2022-09-18	06:55:33	nan	nan	nan	101.907	22.5797	102.181	37.3366	0	0	22.6767	-16000	0	15.934	 89
DATA	1663502134	304455041	361	256	""	2022-09-18	06:55:34	nan	nan	nan	101.907	22.6013	102.18	37.3366	0	0	22.6991	-16000	0	15.9328	 72
DATA	1663502135	304455041	365	256	""	2022-09-18	06:55:35	nan	nan	nan	101.906	22.6229	102.182	37.3366	0	0	22.7211	-16000	0	15.932	 66
DATA	1663502136	304455041	369	256	""	2022-09-18	06:55:36	nan	nan	nan	101.906	22.644	102.181	37.3366	0	0	22.744	-16000	0	15.9313	 24
DATA	1663502137	304147005	373	256	""	2022-09-18	06:55:37	nan	nan	nan	101.905	22.665	102.181	37.3366	0	0	22.7663	-16000	0	15.9301	 73
DATA	1663502138	304147005	377	256	""	2022-09-18	06:55:38	nan	nan	nan	101.906	22.6843	102.181	37.3372	0	0	22.787	-16000	0	15.9309	 89
DATA	1663502139	304147005	381	256	""	2022-09-18	06:55:39	nan	nan	nan	101.907	22.7054	102.181	37.3374	0	0	22.8092	-16000	0	15.9305	125
DATA	1663502140	304147005	385	256	""	2022-09-18	06:55:40	nan	nan	nan	101.905	22.7261	102.18	37.3374	0	0	22.8315	-16000	0	15.9293	 66
DATA	1663502141	304147005	389	256	""	2022-09-18	06:55:41	nan	nan	nan	101.905	22.7477	102.181	37.3374	0	0	22.8537	-16000	0	15.9277	138
DATA	1663502142	304147005	393	256	""	2022-09-18	06:55:42	nan	nan	nan	101.905	22.768	102.18	37.3378	0	0	22.8761	-16000	0	15.9273	 33
DATA	1663502143	304147005	397	256	""	2022-09-18	06:55:43	nan	nan	nan	101.907	22.7889	102.181	37.3382	0	0	22.8985	-16000	0	15.9262	150
DATA	1663502144	304147005	401	256	""	2022-09-18	06:55:44	nan	nan	nan	101.906	22.8092	102.18	37.3382	0	0	22.9212	-16000	0	15.9258	 64
DATA	1663502145	303841114	405	256	""	2022-09-18	06:55:45	nan	nan	nan	101.906	22.8294	102.179	37.3382	0	0	22.9436	-16000	0	15.9246	136
DATA	1663502146	303841114	409	256	""	2022-09-18	06:55:46	nan	nan	nan	101.907	22.8478	102.18	37.3382	0	0	22.9641	-16000	0	15.9214	 84
DATA	1663502147	303841114	413	256	""	2022-09-18	06:55:47	nan	nan	nan	101.907	22.8678	102.18	37.339	0	0	22.9865	-16000	0	15.9203	 40
DATA	1663502148	303841114	417	256	""	2022-09-18	06:55:48	nan	nan	nan	101.905	22.8877	102.18	37.339	0	0	23.0087	-16000	0	15.9191	 39
DATA	1663502149	303841114	421	256	""	2022-09-18	06:55:49	nan	nan	nan	101.906	22.908	102.18	37.339	0	0	23.0308	-16000	0	15.9183	229
DATA	1663502150	303841114	425	256	""	2022-09-18	06:55:50	nan	nan	nan	101.906	22.9282	102.179	37.339	0	0	23.0532	-16000	0	15.9179	 73
DATA	1663502151	303841114	429	256	""	2022-09-18	06:55:51	nan	nan	nan	101.905	22.9476	102.179	37.3398	0	0	23.0755	-16000	0	15.9171	138
DATA	1663502152	303534984	433	256	""	2022-09-18	06:55:52	nan	nan	nan	101.904	22.9674	102.18	37.3398	0	0	23.0982	-16000	0	15.9163	 95
DATA	1663502153	303534984	437	256	""	2022-09-18	06:55:53	nan	nan	nan	101.905	22.987	102.179	37.3398	0	0	23.1206	-16000	0	15.916	 47
DATA	1663502154	303534984	441	256	""	2022-09-18	06:55:54	nan	nan	nan	101.906	23.0055	102.18	37.3398	0	0	23.142	-16000	0	15.9175	 28
DATA	1663502155	303534984	445	256	""	2022-09-18	06:55:55	nan	nan	nan	101.905	23.0244	102.179	37.3404	0	0	23.1633	-16000	0	15.9163	128
DATA	1663502156	303534984	449	256	""	2022-09-18	06:55:56	nan	nan	nan	101.905	23.0433	102.179	37.3406	0	0	23.1855	-16000	0	15.9152	140
DATA	1663502157	303534984	453	256	""	2022-09-18	06:55:57	nan	nan	nan	101.905	23.0627	102.179	37.3406	0	0	23.2073	-16000	0	15.9148	140
DATA	1663502158	303534984	457	256	""	2022-09-18	06:55:58	nan	nan	nan	101.904	23.082	102.177	37.3406	0	0	23.2298	-16000	0	15.9144	 95
DATA	1663502159	303534984	461	256	""	2022-09-18	06:55:59	nan	nan	nan	101.905	23.1017	102.18	37.3414	0	0	23.2517	-16000	0	15.9132	 76
DATA	1663502160	303222894	465	256	""	2022-09-18	06:56:00	nan	nan	nan	101.905	23.1207	102.179	37.3414	0	0	23.2745	-16000	0	15.9128	118
DATA	1663502161	303222894	469	256	""	2022-09-18	06:56:01	nan	nan	nan	101.905	23.1398	102.178	37.3414	0	0	23.2968	-16000	0	15.9116	138
DATA	1663502162	303222894	473	256	""	2022-09-18	06:56:02	nan	nan	nan	101.905	23.1588	102.178	37.3414	0	0	23.3189	-16000	0	15.9112	128
DATA	1663502163	303222894	477	256	""	2022-09-18	06:56:03	nan	nan	nan	101.905	23.1761	102.179	37.342	0	0	23.3391	-16000	0	15.9073	 78
DATA	1663502164	303222894	481	256	""	2022-09-18	06:56:04	nan	nan	nan	101.905	23.195	102.178	37.3421	0	0	23.3611	-16000	0	15.9069	 75
DATA	1663502165	303222894	485	256	""	2022-09-18	06:56:05	nan	nan	nan	101.905	23.2137	102.178	37.3421	0	0	23.3832	-16000	0	15.9061	124
DATA	1663502166	303222894	489	256	""	2022-09-18	06:56:06	nan	nan	nan	101.904	23.2323	102.177	37.3421	0	0	23.4052	-16000	0	15.9058	126
DATA	1663502167	302916049	493	256	""	2022-09-18	06:56:07	nan	nan	nan	101.904	23.251	102.178	37.3429	0	0	23.4272	-16000	0	15.9046	 84
DATA	1663502168	302916049	497	256	""	2022-09-18	06:56:08	nan	nan	nan	101.905	23.27	102.18	37.3429	0	0	23.4494	-16000	0	15.9046	251
DATA	1663502169	302916049	501	256	""	2022-09-18	06:56:09	nan	nan	nan	101.905	23.289	102.178	37.3429	0	0	23.4715	-16000	0	15.9042	 88
DATA	1663502170	302916049	505	256	""	2022-09-18	06:56:10	nan	nan	nan	101.905	23.3079	102.177	37.3433	0	0	23.4935	-16000	0	15.9034	123
DATA	1663502171	302916049	509	256	""	2022-09-18	06:56:11	nan	nan	nan	101.905	23.3255	102.177	37.3437	0	0	23.5144	-16000	0	15.9054	124
DATA	1663502172	302916049	513	256	""	2022-09-18	06:56:12	nan	nan	nan	101.904	23.3434	102.178	37.3437	0	0	23.5354	-16000	0	15.9042	120
DATA	1663502173	302916049	517	256	""	2022-09-18	06:56:13	nan	nan	nan	101.902	23.3614	102.176	37.3437	0	0	23.5571	-16000	0	15.9038	128
DATA	1663502174	302916049	521	256	""	2022-09-18	06:56:14	nan	nan	nan	101.905	23.38	102.177	37.3445	0	0	23.579	-16000	0	15.9034	236
DATA	1663502175	302599906	525	256	""	2022-09-18	06:56:15	nan	nan	nan	101.903	23.3983	102.177	37.3445	0	0	23.6009	-16000	0	15.9022	140
